ID,Title,Abstract,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Snowballing applied?,Notes
47,Evaluating the Trust of Android Applications through an Adaptive and Distributed Multi-criteria Approach,"New generation mobile devices, and their app stores, lack of a methodology to associate a level of trust to applications to faithfully represent their potential security risks. This problem is even more critical with newly published applications, for which either user reviews are missing or the number of downloads is still low. In this scenario, users may not fully estimate the risk associated with downloading apps found on on-line stores. Hence, here we propose a methodology for evaluating the trust level of an application through an adaptive, flexible, and dynamic framework. The evaluation of an application trust is performed using both static and dynamic parameters, which consider the application meta-data, its run-time behavior and the reports of users with respect to the software critical operations. We have validated the proposed approach by testing it on more than 180 real applications found both on official and unofficial markets by showing that it correctly categorizes applications as trusted or untrusted in 94% of the cases and it is resilient to poisoning attacks.","G Dini, F Martinelli, I Matteucci, M Petrocchi, A Saracino, D Sgandurra","2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications",Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,,
48,"Improving Web Server Performance with Adaptive Proxy Caching in Soft Real-time Mobile Applications
","This paper introduces an adaptive cache proxy to improve the performance of web access in soft real-time applications. It consists of client proxies and cooperative proxy servers with a server-side pushing schema. The large amount of heterogeneous data will be stored in the proxy servers and delivered to clients through computer networks to reduce the response time and network traffic. The adaptive proxy pre-fetches and replaces heterogeneous data dynamically in consideration of networks cost, data size, data change rate, etc. The simulation results show that the modified LUV algorithm has better performance in terms of hit rate, byte hit rate, and delay saving rate. With the cooperative proxy caching, it is shown that the performance of the proxy caching system is more predictable even if the proxies need to deal with a variety of data. The modified adaptive TTL algorithm has better performance in terms of the combination of temporal coherency and system overheads.","AMK Cheng, Z Zhang ","The Journal of VLSI Signal Processing Systems for Signal, Image, and Video Technology",Journal Article,2007,Query,yes,yes,no,x,,,,,,,,,
49,Supporting mobile applications with information centric networking: the case of P2Plive adaptive video streaming,"This paper briefly presents a P2P application for the live streaming of video contents encoded at multiple bit-rates, enabling neighboring cellular devices to increase the quality of video playback, by cooperatively using their cellular (e.g. HSDPA) and proximity (e.g. Wi-Fi Direct) wireless connections. The application is designed to exploit key functionalities of an Information Centric Network: routing-by-name, in-network caching and multicasting. We implemented a prototype of the application and assessed its performance in a test-bed based on Linux, the CCNx tool and real cellular connections.","A Detti, B Ricci, N Blefari-Melazzi ",Proceedings of the 3rd ACM SIGCOMM Workshop on Information-centric Networking,Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,,
50,Adaptive formation control of a fleet of mobile robots: Application to autonomous field operations.,"The necessity of decreasing the environmental impact of agricultural activities, while preserving in the same time the level of production to satisfy the growing population demand, requires to investigate new production tools. Mobile robotic can constitute a promising solution, since autonomous devices may permit to increase production level, while reducing pollution thanks to a high accuracy. In this paper, the use of several mobile robots for field treatment is investigated. It is here considered that they can exchange data through wireless communication, and a formation control law, accurate despite typical off-road conditions (low grip, terrain irregularities, etc), is designed relying on nonlinear observer-based adaptive control. The algorithm proposed in this paper is tested through advanced simulations in order to study separately its capabilities, as well as experimentally validated.",Roland Lenain ; Johan Preynat ; Benoit Thuilot ; Pierre Avanzini ; Philippe Martinet,2010 IEEE International Conference on Robotics and Automation,Conference Paper,2010,Query,,,,,x,,,,,,,,
51,"A Hybrid Granularity Graph for Improving Adaptive Application Partitioning Efficacy in Mobile Computing Environments
","The feasibility of using adaptive object migration to enable the execution of heavy applications in pervasive environments, is determined by the computational efficiency of adaptation algorithms and the efficacy of their decisions. These two factors, which are largely predicated by the resource constraints of devices, are heavily influenced by the granularity at which adaptation decisions are performed. This paper proposes a new type of adaptation granularity which combines the efficiency of coarse level approaches with the efficacy of fine-grained adaptation. A novel approach for achieving this level of granularity through the dynamic decomposition of runtime class graphs is presented and empirically evaluated on a corpus of real world applications. It is shown that the approach improves the efficacy of adaptation decisions by reducing network overheads by a minimum of 17% to as much 99%, while maintaining comparable decision making efficiency to class level adaptation.","E Abebe, C Ryan",2011 IEEE 10th International Symposium on Network Computing and Applications,Conference Paper,2011,Query,yes,yes,no,x,,,,,,,,,
52,"Ubiquitous Widgets: Designing Interactions Architecture for Adaptive Mobile Applications
","Modern mobile devices spreading introduce a new way of using and designing software applications. These pervasive systems are now part of our lives. More and more connected objects provide us more and more software capabilities. In this environment we have to rethink the way we traditionally consider our interactions with this software. These interactions are now potentially spread over multiple devices with different interacting modalities. We propose, in this paper, a software container component based architecture to design such interactions and a software platform to manage their dynamic life-cycle.","D Pierre, D Marc, R Philippe ",2013 IEEE International Conference on Distributed Computing in Sensor Systems,Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,,
53,"An Adaptive Context Acquisition Framework to Support Mobile Spatial and Context-Aware Applications
","The increasing number of mobile devices allows users to access applications anytime and anywhere. In such applications, location is a key information to improve the interaction between user and services. Existing applications combine location with other context information, such as weather, user’s activity, temperature, among others. However, developing context-aware applications is still a non-trivial task due to the complexity to implement context management. Additionally, existing context management infrastructures are too brittle to handle changes in the underlying execution infrastructure. In this scenario, this work proposes a context acquisition framework, which tries to reduce the development complexity of mobile spatial and context-aware applications. The framework uses tuples space and OSGi to promote uncoupling and to adapt itself according to application requirements. A proof of concept was developed in order to show how spatial and context filters can be easily implemented during the development of a tracking application.","André Sales FontelesBenedito J. A. NetoMarcio MaiaWindson VianaRossana M. C. Andrade
","International Symposium on Web and Wireless Geographical Information Systems
W2GIS 2013: Web and Wireless Geographical Information Systems pp 100-116",Conference Paper,2013,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
54,"Self-adaptive battery and context aware mobile application development
","Overall high power consumption in the mobile applications forces the mobile users to recharge frequently. Most of the Android applications do not implement any self-adaptive strategies that react to the battery level, status and context. Thus the applications continue to consume power even when battery is critically low. Intelligent control of hardware and software optimization based on the battery level is the key to power saving. This paper introduces a self-adaptive application development framework which proposes three profiles with various self-adaptive features for mobile applications. The framework employs an analyzer engine which decides the activation of appropriate profile based on battery and context information. The self-adaption takes place in four levels - hardware & software features adaption, user features adaption and additional optimization. When the battery is critically low, priority is given to maximize the battery life until next charging opportunity. Such implementation is highly desirable for mobile applications with high dependency on display hardware (e.g. games) and/or on network operations (e.g. YouTube, Dropbox). Prototype Android applications are developed and results show up to 40% reduction in application power consumption. Power Tutor has been used to get the power consumption results.","SK Datta, C Bonnet, N Nikaein ",2014 International Wireless Communications and Mobile Computing Conference (IWCMC),Conference Paper,2014,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
55,"Adaptive Application Configuration and Distribution in Mobile Cloudlet Middleware
","Despite recent advances in mobile device capabilities in terms of CPU power, memory, connectivity, etc, these devices still fall short to execute complex media rich and data analysis applications. Therefore, the concept of cloudlets was introduced, where nearby infrastructure is used by the mobile user for code offloading. However, the way this infrastructure is used is often left to the application developer, leading to a best effort approach in utilizing remote resources. In this paper we present a middleware approach for such cloudlet environments, that manages mobile applications on a component level. The middleware monitors application components in the cloudlet, and optimizes both the configuration and the deployment of all components in the cloudlet for the current execution context. We present a prototype implementation of the middleware platform, and show the effectiveness of our adaptation strategy using an augmented reality use case.","T Verbelen, P Simoens, F De Turck, B Dhoedt","Mobile Wireless Middleware, Operating Systems, and Applications",Conference Paper,2013,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
56,"Adaptive Spatial Resolution Control Scheme for Mobile Video Applications
","Video streams can be compressed to fit the available network by controlling three factors; temporal resolution, spatial resolution and picture quality. Controlling picture quality by modifying the quantization parameter (QP) is most widely used. But we demonstrate that reducing the spatial resolution is more effective in a low bit-rate environment, and we show how to find the optimal spatial resolution for the available bandwidth. Varying the spatial resolution is especially effective 1) when the bandwidth between the video encoder and the displaying device varies considerably with time, which is the case in wireless networks, and 2) when the display device is sensitive to energy saving. Both of these considerations are met by a portable media player which is displaying streaming video content transmitted by a remote video server through a wireless network. If the bit-rate is low, our technique can improve the picture quality by more than 1 db compared to adjustment of QP, accompanied by a halving of energy consumption.","Y Lee, H Lee, H Shin",2007 IEEE International Symposium on Signal Processing and Information Technology,Conference Paper,2007,Query,yes,yes,no,x,,,,,,,,,
57,"Personalized and adaptive user interface framework for mobile application
","User interfaces in mobile applications are complex since they need to provide sufficient features to variety of users in a restricted space where a small number of components are available. When user acquires expertise in the system they expect user interfaces which satisfy their unique needs. Therefore, user interfaces in mobile applications should be adapted to different users. Since this problem exists in various applications a general solution is required to make user interfaces adaptive using user context history. In this paper, we introduce a conceptual prototype framework for mobile applications to make the user interfaces adaptive to the user. This identifies a suitable experience level to a user by learning his/her history of interactions with applications and then displays adaptive user interfaces. A proof of concept application is implemented to inspect the behavior of framework. Further, a user study was conducted on the developed proof of concept application and user context data was stored. This data was used as the training data for the Inference engine. This framework introduces an abstract solution which can be used to adapt various user interfaces based on human computer interactions. We believe the suggested framework can be used in related adaptation for Web applications, desktop applications and other mobile platforms.",Mahasivam Nivethika ; Ilanthalaisingam Vithiya ; Sebastiankularatnam Anntharshika ; Sampath Deegalla,"2013 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",Conference Paper,2013,Query,yes,yes,no,x,,,,,,,,,
58,"Towards Battery-Aware Self-Adaptive Mobile Applications
","Mobile Applications are rapidly emerging as a convenient medium for using a variety of services. In ubiquitous environment, the challenge relies on developing applications that sense and react to environmental changes to provide a value-added user experience. This context awareness property improves application usability. Context information can be related to the environment, user but also to the device itself. Since smart phones are battery-powered, in an ideal scenario, the application will self-adapt and adjust its behavior according to the current battery status of the device. In this paper, we address the challenge of building self-adaptive battery-aware applications for mobile devices. Our solution is based on a dynamic feature configuration to adapt efficiently to the device status. We propose a distributed battery-awareness architecture where both the mobile client and the server side optimize the battery utilization when needed. We also propose three layers of dynamic adaptation: user features' availability adaptation, internal features' behavior adaptation, and data consumption adaptation. As illustrated by the experiments, doing the right adaptation in both server and client sides increases the lifetime span of the mobile device and hence the availability of the application.",Rabeb Mizouni ; M. Adel Serhani ; Abdelghani Benharref ; Oubai Al-Abassi,2012 IEEE Ninth International Conference on Services Computing,Conference Paper,2012,Query,yes,yes,no,pass,pass,pass,pass,pass,pass,pass,pass,,
59,A mobile channel model for VLC and application to adaptive system design,"In this letter, we propose a realistic channel model for visible light communication (VLC) assuming a mobile user. Based on non-sequential ray tracing, we ﬁrst obtain channel impulse responses for each point over the user movement trajectories, and then express path loss and delay spread as a function of distance through curve ﬁtting. Our results demonstrate large variations in received power. In system design, this necessitates the use of adaptive schemes, where transmission parameters can be selected according to channel conditions. To demonstrate the beneﬁts of link adaptation over a mobile VLC channel, we propose an adaptive system with luminary selection and demonstrate improvements in spectral efﬁciency over non-adaptive systems.","F Miramirkhani, O Narmanlioglu, M Uysal, E Panayirci",IEEE Communications Letters,Journal Article,2017,Query,yes,yes,no,x,,,,,,,,,
60,"Dynamic adaptive techniques for learning application delay tolerance for mobile data offloading
","Today's worldwide mobile data traffic is roughly 18× larger than the full internet traffic in 2000, and continued large growth is expected. High mobile data usage has implications both for users and providers. For individual users, relying on cellular data connectivity incurs high cellular data fees. For cellular network providers, high mobile data usage requires expensive, ongoing infrastructure upgrades. Cellular data usage can be reduced by offloading to WiFi when available. If not available, prior work has considered delaying transmissions to wait for WiFi availability. While exploiting such application delay tolerance offers significant energy and performance leverage for data offloading and other techniques, a key question is: how long to wait? Prior work does not discuss how to estimate application delay tolerance without explicit help from programmers, nor how to adjust the estimate dynamically. This work proposes, implements, and evaluates four schemes to dynamically and adaptively deduce an application's delay tolerance. These schemes (Adaptive, Decision Tree-Based, Hybrid and Lazy) are low-overhead and effective. In our experiments, they cut cellular usage by 2× or more compared to non-delay-tolerant approaches. Furthermore, our dynamically adaptive decision schemes achieve up to 15% further cellular data reduction compared to fixed static delay tolerance values.","OB Yetim, M Martonosi",2015 IEEE Conference on Computer Communications (INFOCOM),Conference Paper,2015,Query,yes,yes,no,x,,,,,,,,,
61,Robust Unknown Input Observer-Based Fast Adaptive Fault Estimation: Application to Mobile Robot,Robust Unknown Input Observer-Based Fast Adaptive Fault Estimation: Application to Mobile Robot: 10.4018/978-1-4666-7248-2.ch016: This chapter studies the problem of fault estimation using a fast adaptive fault diagnosis observer. Note that the advance of observer-based fault diagnosis,"O Hrizi, B Boussaid, A Zouinkhi, M. Naceur Abdelkrim",Handbook of Research on Advanced Intelligent Control Engineering and Automation,Journal Article,2015,Query,,,,,x,,,,,,,,
62,Adaptive service-oriented mobile applications: A declarative approach,"Modern society increasingly relies on mobile devices and on distributed applications that use them. To increase development efficiency and shorten time-to-market, mobile applications are typically developed by composing together ad-hoc developed components, services available on-line, and other third-party mobile applications. To cope with unpredictable changes and failures, but also with the various settings offered by the plethora of devices, mobile applications need to be adaptive. We address this issue by proposing a declarative approach. The advantages of the proposed solution are demonstrated through an example inspired by an existing worldwide distributed mobile application.","G Cugola, C Ghezzi, LS Pinto, G Tamburrelli","International Conference on Service-Oriented Computing
ICSOC 2012: Service-Oriented Computing pp 607-614",Conference Paper,2012,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,
63,A robust fault detection scheme with an application to mobile robots by using adaptive thresholds generated with locally linear models,"In a fault detection system, generating residuals is the first step in detecting faults. However, residuals are not the only element of a dependable fault detection system. A fault detection system is reliable when an appropriate residual evaluation criterion is used along with a suitable residual generation technique. In this paper, a new method for an adaptive threshold generation is proposed to improve evaluation of the residuals with application to a trajectory following of an unmanned mobile robot. The proposed solution is useful when local linear models are utilized as observers for residual generation. For this purpose, locally linear model tree algorithm equipped with an external dynamics is applied as a powerful nonlinear identifier scheme to model the system. To demonstrate the capability of our proposed concept a complete model of a two wheeled mobile robot which is capable of implementing most possible faults in the system is developed. Detailed simulation results demonstrate the feasibility of our proposed methodology.","F Baghernezhad, K Khorasani ",2013 IEEE Symposium on Computational Intelligence in Control and Automation (CICA),Conference Paper,2013,Query,,,,,x,,,,,,,,
64,Adaptive Mobile Web Applications Through Fine-Grained Progressive Enhancement,"The availability of mobile devices is growing at an incredible pace. This trend has set a need for applications being available at anytime, anywhere, and on any device. As most mobile users carry their device at all times, being truly mobile provides users an unprecedented freedom. Nevertheless the clear advantages, application developers are facing challenges due to device fragmentation. Current application development solutions are insufﬁciently prepared for the high variety of mobile platforms and hardware characteristics. In this paper we propose a platform for the development and delivery of adaptive mobile applications. An adaptive application composition approach is introduced, capable of autonomously bypassing fragmentation related issues. This goal is achieved by incorporating ﬁne-grained progressive application enhancements through a quantitative evaluation strategy.","H Desruelle, D Blomme, F Gielen",(2011) ADAPTIVE 2011 : the third International conference on adaptive and self-adaptive systems and applications. p.51-56,Conference Paper,2011,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,maybe not self-adaptive but just adaptive?
65,An Adaptive Semantic Mobile Application for Individual Touristic Exploration,"Expectations towards information access are rising as technology is increasingly pervasive in public spaces. Information for tourists such as on sights, transportation options or lodging is instantly available on mobile phones or public displays. However, it is still mostly up to the users to query different sources for information, find information suitable to their situation and to combine that information afterwards in order to reach their goal. In this paper, we present an approach that provides integrated and situational information on different tourism-related topics. We introduce our adaptation concept based on semantic descriptions of user context and integrated information sources and we describe the prototype implementing our concept. We evaluate our approach in a user study and discuss starting points for future work.","C Keller, R Pöhland, S Brunk, T Schlegel ","International Conference on Human-Computer Interaction
HCI 2014: Human-Computer Interaction. Applications and Services pp 434-443",Conference Paper,2014,Query,yes,yes,no,x,,,,,,,,,
66,Developing self-adaptive mobile applications and services with separation-of-concerns,"Research results from industry-academic collaborative projects in service-oriented computing describe practical, achievable solutions. Service-Oriented Applications and Architectures (SOAs) have captured the interest of industry as a way to support business-to-business interaction, and the SOA market grew by $4.9 billion in 2005. SOAs and in particular service-oriented computing (SOC) represent a promising approach in the development of adaptive distributed systems. With SOC, applications can open themselves to services offered by third parties and accessed through standard, well-defined interfaces. The binding between the applications and the services can be, in this context, extremely loose--enabling the ad hoc creation of new services when the need arises. This book offers an overview of some current research in the field, presenting the results of eighteen research projects funded by the European Community's Information Society Technologies Program (IST). The projects, collaborations between industry and academia, have produced practical, achievable results that point the way to real-world applications and future research. The chapters address such issues as requirement analysis, design, governance, interoperability, and the dependability of systems made up of components owned by third parties. The results are presented in the context of two roadmaps for research, one developed by European industry involved in software development and the other by researchers working in the service area. The contributors report first on the ""Infrastructure Layer,"" then (in the bulk of the book) on the ""Service Integration Layer,"" the ""Semantic Layer,"" and finally on the issues that cut across the different layers. The book concludes by looking at ongoing research on both roadmaps.","N Paspallis, F Eliassen, S Hallsteinsen,  edited by Elisabetta Di Nitto, Anne-Marie Sassen, Paolo Traverso, Arian Zwegers",At Your Service: Service-oriented Computing from an EU Perspective,Book Section ,2009,Query,no,no,no,,,,,,,x,,,
67,"SelfMotion: A declarative approach for adaptive service-oriented mobile applications
","Modern society increasingly relies on mobile devices. This explains the growing demand for high quality software for such devices. To improve the efficiency of the development life-cycle, shortening time-to-market while keeping quality under control, mobile applications are typically developed by composing together ad-hoc developed components, services available on-line, and other third-party mobile applications. Applications are thus built as heterogeneous compositions, whose characteristics strongly depend on the components and services they integrate. To cope with unpredictable changes and failures, but also with the various settings offered by the plethora of available devices, mobile applications need to be as adaptive as possible. However, mainstream adaptation strategies are usually defined imperatively and require complex control strategies strongly intertwined with the application logic, yielding to applications that are difficult to build, maintain, and evolve. We address this issue by proposing a declarative approach to compose adaptive heterogeneous mobile applications. The advantages of this approach are demonstrated through an example inspired by an existing worldwide distributed mobile application, while the implementation of the proposed solution has been validated through a set of simulations and experiments aimed at illustrating its performance.","G Cugola, C Ghezzi, LS Pinto, G Tamburrelli ",Journal of Systems and Software,Journal Article,2014,Query,yes,yes,no,,,,,,x,,,,
68,"A Context-aware Adaptive Security Framework for Mobile Applications
","Mobile devices currently offer many value-added applications and services such as messaging, navigation, social networking, finance, and entertainment. As these mobile applications have access to users' personal information and are capable of gathering and transmitting trust sensitive information, posing security and privacy risks. In this paper, we propose a context-aware adaptive security framework for eliciting users' context information and adapting this information with mobile applications' network access control mechanism. The framework enforces the execution of mobile applications inside security incubators to control the communication between mobile applications and mobile device resources. Applications' access requests are analyzed based on user's context information collected from the mobile device sensors and the application security configuration.","Y Mowafi, D Abou-Tair, T Aqarbeh, M Abilov, V Dmitriyev, J M Gomez","ICCASA '14 Proceedings of the 3rd International Conference on Context-Aware Systems and Applications
Pages 147-153 ",Conference Paper,2014,Query,yes,yes,no,x,,,,,,,,,
69,"Adaptive Context aware and intelligent searching in mobile learning applications
","With the fast development of distributed network technology and speeding increase of cable and wireless network bandwidth, information can circulate in computer through various manners and various kinds of carriers for users to access. Therefore, it has now become one of the hottest issues as how network can be used to enrich the living quality of people. This paper will focus on the e-learning and On-line examination domain, and would like to make use diverse functions of Multi-agent as found in every Distributed Database or AP Server, and through the Data Mining technology to arrange the latest learning procedure and test recording of each learner. And after analysis, the results will be provided to Recommending Learning AP Server as the suitable level of customization learning program suggested to learning under current level based upon system evaluation. Thus, learner can enjoy the fun of learning with sequential progress. This paper has resorted to the technology of various Agents, and recorded the information of browsing and learning processes of learner in every stage, and it would then arrange and organize possible current level of learning for among learners from Database and Data Warehouse so as to provide learners to conduct judgment as they choose degree of difficulty with test-paper for online test, achieving the objective of integrate learning and test. In addition, it is to conduct personal learning profile among online learner so as to automatically render test-paper suitable for individual testing subject; as a result, it would effectively enhance the confidence, and suitable learning speed of the learning. Hence, it can efficiently improve defects of traditional e-learning and online test. At the end, we have put forth Context-aware technology to integrate intelligent online examination system so as to achieve the relevant learning content of students for extension as well as mastery of teacher for learning extent of students. Then, it can have designed the test that accommodates to student's level so that online test and learning can be complementary, helping examination to return to its original essence-appreciation of self and turning learning to be extended indefinitely.",CB Yao,2010 The 2nd International Conference on Computer and Automation Engineering (ICCAE),Conference Paper,2010,Query,yes,yes,no,x,,,,,,,,,
70,A Framework for Adaptive RDF Graph Replication for Mobile SemanticWeb Applications:,"An increasing number of applications are based on Semantic Web technologies and the amount of information available on the Web in the form of RDF is continuously growing. The adaption of the Semantic Web for Personal Information Management and the increasing desire for mobility is often accompanied by situations where no network connectivity is available and hence access to remote data is limited. Such situations could be obviated when mobile devices are able to operate on oﬄine data replicas and synchronize changes when connectivity is re-established. In this paper we present our ongoing work in developing a framework allowing for adaptive RDF graph replication and synchronization on mobile devices. We propose to interpose components that analyze various information sources of semantic applications (including ontologies, queries, and expressed user interest) and use them for selecting parts of RDF data bases, which are then made available oﬄine using a proxy SPARQL endpoint on a mobile device. Thus, we provide access to Semantic Web data without the need for permanent network connectivity.","B Schandl, S Zander ",Proceedings of the Joint Workshop on Advanced Technologies and Techniques for Enterprise Information Systems,Conference Paper,2009,Query,,,,,,,,,x,,,,
71,An adaptive duty-cycle scheme for GPS scheduling in mobile location sensing applications,"Mobile location sensing applications (MLSAs) represent an emerging genre of applications that exploit Global Positioning System (GPS) technology and facilitate location-based services. The design of MLSAs must incorporate a tradeoff between information accuracy and energy efﬁciency because GPS technology is energy expensive and unaffordable for most MLSA platforms, which are battery-powered and therefore resource-constrained. In this study, based on our observation that the reception of GPS signals is spatially and temporally correlated, we propose a novel algorithm called the Adaptive Duty Cycle (ADC) scheme to exploit the spatio-temporal localities in the design of GPS scheduling algorithms. Using a comprehensive set of evaluations, as well as realistic hiker mobility traces, we evaluate the ADC scheme in terms of data granularity and power consumption. The results demonstrate that the scheme can achieve the Pareto optimum in all test cases. Moreover, the scheme is simple, effective, and generalizable to other mobile location sensing applications.","CL Wu, YT Huang, CL Wu, H Chu, P Huang, LJ Chen",Proc. of PhoneSense,NA,2011,Query,yes,yes,no,,x,,,,,,,,
72,A programming model for high-performance adaptive applications on pervasive mobile grids,"Pervasive Grids are emerging distributed computing platforms featuring high degrees of dynamicity and heterogeneity. They are composed of ﬁxed and mobile nodes, interconnected through wireless and wired networks. Adaptivity is the key point for applications to efﬁciently exploit Pervasive Grids. We focus on High-Performance pervasive applications, such as emergency management. We present a novel programming model which allows programmers to express high-performance adaptive applications in terms of their parallel and distributed structures. In this programming model a parallel module can be programmed in multiple versions, each optimized for a speciﬁc platform conﬁguration (e.g. mobile nodes or central servers). The module is programmed to select the best version to handle/serve certain events, such as wireless link failure and user request for a better QoS. We experimentally show the efﬁcacy of this approach for a test-based application on a Pervasive Grid.","Carlo Bertolli, Daniele Buono, Silvia Lametti, Gabriele Mencagli, Massimiliano Meneghin, Alessio Pascucci, Marco Vanneschi
","Proceeding of the 21st IASTED International Conference on Parallel and Distributed Computing and Systems
",Conference Paper,2009,Query,yes,yes,no,,x,,,,,,,,
73,Adaptive Iterated Square-Root Cubature Kalman Filter and Its Application to SLAM of a Mobile Robot,"For the mobile robot Simultaneous Localization and Mapping (SLAM)，a new algorithm is proposed, and named Adaptive Iterated Square-Root Cubature Kalman Filter based SLAM algorithm (AISRCKF-SLAM). The main contribution of the algorithm is that the numerical integration method based on cubature rule is directly used to calculate the SLAM posterior probability density. To improve innovation covariance and cross-covariance, the latest measurements are iteratively used in the measurement updating. The algorithm can reduce linearization error and improve the accuracy of the SLAM algorithm. The algorithm also used adaptive iterating estimation restricted by the iterative sentencing guideline to adjust the proportion of the observation and dynamic model, to make the estimated square root of the error covariance more accurate and reasonable. In experiments, the proposed algorithm is compared with Extended Kalman Filter based SLAM algorithm (EKF-SLAM), Unscented Kalman Filter based SLAM algorithm (UKF-SLAM) and Square-Root Cubature Kalman Filter based SLAM algorithm (SRCKF-SLAM. The results indicate that the proposed algorithm having with the higher accuracy of the state estimation is obtained to compare with the EKF-SLAM algorithm, the UKFSLAM algorithm and the SRCKF-SLAM algorithm.","Z Chen, X Dai, L Jiang, C Yang, B Cai",TELKOMNIKA Indonesian Journal of Electrical Engineering,Journal Article,2013,Query,yes,no,no,,x,,,,,,,,
74,"Globally adaptive data prefetching mechanism for mobile network applications
","This paper presents an approach named Multiple Goals Oriented Data Prefetching (MGODP) to satisfy the data prefetching requirements from different users. MGODP does not only take the user preferences into account to prefetch appropriate amounts of data, but also adopts global coordination for Client/Server data access model to greatly improve the quality of service from the server’s perspective. Moreover, MGODP balances the workload between the mobile client and the backend server to achieve proper allocation of resources and to guarantee the system performance. Experimental results demonstrate that MGODP could satisfy diverse user requirements, and reduce the consumption of battery energy and network bandwidth through global coordination and workload balance.","XW Zhang, DG Cao, G Tian, XQ Chen"," Journal of Software, 2010",Journal Article,2010,Query,yes,yes,yes,,,,,x,,,,,
75,"Multi-layer faults in the architectures of mobile, context-aware adaptive applications: a position paper
","Five cellphones are sold every second, and there are four times more cellphones than computers, meaning there are some billions of mobile handheld devices in existence. Modern cellphones are equipped with multiple context sensors used by increasingly sophisticated software applications that exploit the sensors, allowing the applications to adapt automatically to changes in the surrounding environment, such as by responding to the location and speed of the user. The architecture of such applications is typically layered and incorporates a context-awareness middleware to support processing of context values. While this layered architecture is very natural for the design and implementation of applications, it gives rise to new kinds of faults and faulty behavior modes, which are difficult to detect using existing validation techniques. In this paper we provide scenarios illustrating such faults and exploring how they manifest in context-aware adaptive applications.","M Sama, DS Rosenblum, Z Wang, S Elbaum ",Proceedings of the 1st International Workshop on Software Architectures and Mobility,Conference Paper,2008,Query,yes,yes,yes,,,,,,x,,,,It is a position paper so be careful in the data extraction
76,"SAC: semantic adaptive caching for spatial mobile applications
","Mobile location-based applications rely heavily on network connections. When the mobile devices are offline, such applications become less accessible to users. A cache-based method is proposed to improve the offline accessibility for mobile location-based applications. The central idea is that when users are browsing information, the client program not only submits the current query window to the server, but also attempts to predict the most likely (from a probabilistic standpoint) query windows that would be submitted to the server in the future. The major challenge is the very large number of possible future query windows. This challenge is tackled by proposing a discretization technique that makes predictions over a finite subset of all possible query windows. A probabilistic model is proposed for prediction, which is trained using the query log recorded by the client, so that the prediction can be executed entirely on the client side. The advantage of this technique is that it requires no modification on the existing server side, so it can be adapted by most existing applications easily. The usability of the technique is demonstrated by prototyping it on top the NewsStand system so that the query window is constantly changing as users pan and zoom around the world using a gesturing interface, among others. Evaluation shows the prototype to be effective while decreasing the response time.","C Liu, BC Fruin, H Samet ",Proceedings of the 21st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,Conference Paper,2013,Query,yes,yes,yes,x,,,,,,,,,
77,"Foundations of Adaptive Data Stream Mining for Mobile and Embedded Applications
","Mining data streams for mobile and embedded applications faces a major problem represented in the high rate of the streaming input with regard to the available computational resources. Adapting the data mining algorithms to the availability of resources is an essential step towards realizing the potential applications in this area. In this paper, we review our Algorithm Output Granularity (AOG) for data stream mining adaptation. The generalization of AOG based on Probably Approximately Correct (PAC) learning model is presented. This generalization is of paramount importance to establish a theoretical framework for adaptation and resource-awareness in data stream mining.",MM Gaber , 2008 Cairo International Biomedical Engineering Conference,Conference Paper,2008,Query,yes,yes,no,x,,,,,,,,,
78,A system structure for adaptive mobile applications,"A system structure for adaptive mobile applications is introduced and discussed, together with a compliant architecture and a prototypic implementation. A methodology is also introduced, which exploits our structure to decompose the behavior of non stable systems into a set of quasi-stable scenarios. Within each of these scenarios we can exploit the knowledge of the available QoS figures to express simpler and better adaptation strategies.","V De Florio, C Blondia ","In Proc. of the Sixth IEEE Int.l Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM 2005)",Conference Paper,2005,Query,yes,yes,yes,pass,pass,pass,pass,pass,pass,pass,pass,,Outside the Date range - 2005!
